trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
55,False,"{'a': 0.776032884816386, 'e': 0.9918374288468401}",20,0,-22.655530958082196,"{0: 17, 1: 0, 2: 2, 3: 1, 4: 0}",0
56,False,"{'a': 0.7759157804615688, 'e': 0.9915071371483557}",20,0,-160.0327752617339,"{0: 10, 1: 4, 2: 3, 3: 0, 4: 3}",0
57,False,"{'a': 0.7758032678341817, 'e': 0.9911635995393923}",20,0,-61.295083793023046,"{0: 14, 1: 3, 2: 2, 3: 0, 4: 1}",0
58,False,"{'a': 0.7756951668900169, 'e': 0.9908062946327119}",20,12,-46.53497316515776,"{0: 4, 1: 3, 2: 0, 3: 0, 4: 1}",1
59,False,"{'a': 0.775591304644501, 'e': 0.9904346813279084}",20,9,-108.18015309051083,"{0: 7, 1: 0, 2: 0, 3: 2, 4: 2}",1
60,False,"{'a': 0.7754915148958826, 'e': 0.9900481981330956}",20,0,-134.29182322219077,"{0: 11, 1: 0, 2: 7, 3: 0, 4: 2}",0
61,False,"{'a': 0.7753956379592745, 'e': 0.9896462624689083}",20,0,-58.96073286048851,"{0: 14, 1: 0, 2: 5, 3: 1, 4: 0}",0
62,False,"{'a': 0.775303520411123, 'e': 0.9892282699548584}",25,0,-142.20616489016265,"{0: 15, 1: 2, 2: 3, 3: 4, 4: 1}",0
63,False,"{'a': 0.7752150148436986, 'e': 0.9887935936781571}",20,0,-98.98798639122589,"{0: 14, 1: 0, 2: 3, 3: 2, 4: 1}",0
64,False,"{'a': 0.7751299796292109, 'e': 0.9883415834451669}",30,0,-84.49970611812664,"{0: 19, 1: 6, 2: 4, 3: 0, 4: 1}",0
65,False,"{'a': 0.7750482786931752, 'e': 0.9878715650157258}",25,0,-103.11596425077626,"{0: 17, 1: 3, 2: 3, 3: 0, 4: 2}",0
66,False,"{'a': 0.7749697812966632, 'e': 0.9873828393206613}",25,0,-96.77755289737891,"{0: 15, 1: 3, 2: 6, 3: 0, 4: 1}",0
